date,m1,m1_odds,m1_win,m2,m2_odds,m2_win,combined_odds,both_win,pnl,bankroll
2025-04-26 00:00:00,Newcastle vs Ipswich,1.18,True,Leverkusen vs Augsburg,1.36,True,1.605,True,60.48,99.38
2025-04-27 00:00:00,Atalanta vs Lecce,1.25,False,Juventus vs Monza,1.2,True,1.5,False,-100.0,-0.62
2025-05-02 00:00:00,Man City vs Wolves,1.4,True,Nice vs Reims,1.4,True,1.96,True,96.0,95.38
2025-05-03 00:00:00,Inter vs Verona,1.3,True,Dortmund vs Wolfsburg,1.33,True,1.729,True,72.9,168.28
2025-05-04 00:00:00,Brest vs Montpellier,1.36,True,Real Madrid vs Celta,1.33,True,1.809,True,80.88,249.16
2025-05-10 00:00:00,Mallorca vs Valladolid,1.33,True,Bayern Munich vs M'gladbach,1.17,True,1.556,True,55.61,304.77
2025-05-11 00:00:00,Nott'm Forest vs Leicester,1.33,False,Napoli vs Genoa,1.3,False,1.729,False,-100.0,204.77
2025-05-14 00:00:00,Villarreal vs Leganes,1.33,True,Real Madrid vs Mallorca,1.38,True,1.835,True,83.54,288.31
2025-05-17 00:00:00,Lyon vs Angers,1.29,True,Dortmund vs Holstein Kiel,1.09,True,1.406,True,40.61,328.92
2025-05-18 00:00:00,Everton vs Southampton,1.4,True,Juventus vs Udinese,1.38,True,1.932,True,93.2,422.12
2025-05-24 00:00:00,Espanol vs Las Palmas,1.38,True,Leganes vs Valladolid,1.3,True,1.794,True,79.4,501.52
2025-05-25 00:00:00,Bournemouth vs Leicester,1.33,True,Liverpool vs Crystal Palace,1.4,False,1.862,False,-100.0,401.52
